date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
2/26,2330,花旗環球,1590,4892,1664,3228,5.13,1,buy
2/26,2330,新加坡商瑞銀,1650,3736,18093,-14357,22.81,1,sell
2/26,2330,台灣摩根士丹利,1470,5194,3007,2187,3.48,2,buy
2/26,2330,美林,1440,2925,6988,-4063,6.46,2,sell
2/26,2330,凱基-台北,9268,3425,1298,2127,3.38,3,buy
2/26,2330,永豐金-匯立,0039004100380031,276,3476,-3200,5.09,3,sell
2/26,2330,香港上海匯豐,8960,1362,446,916,1.46,4,buy
2/26,2330,美商高盛,1480,3562,6386,-2824,4.49,4,sell
2/26,2330,永豐金證券,0039004100300030,1071,228,843,1.34,5,buy
2/26,2330,法銀巴黎,8900,52,1551,-1499,2.38,5,sell
2/26,2330,摩根大通,8440,5967,5307,660,1.05,6,buy
2/26,2330,大和國泰,8890,108,1580,-1472,2.34,6,sell
2/26,2330,元大證券,9800,3614,3066,548,0.87,7,buy
2/26,2330,國泰證券,8880,214,623,-409,0.65,7,sell
2/26,2330,國泰-敦南,8888,669,131,538,0.85,8,buy
2/26,2330,永豐金-松山,0039004100390031,41,140,-99,0.16,8,sell
2/26,2330,元富,0039004200300030,597,100,497,0.79,9,buy
2/26,2330,港商野村,1560,1161,1243,-82,0.13,9,sell
2/26,2330,富邦證券,9600,662,175,487,0.77,10,buy
2/26,2330,元大-四維,9831,27,83,-56,0.09,10,sell
2/26,2330,群益金鼎,9100,404,20,384,0.61,11,buy
2/26,2330,凱基-中壢,9285,20,53,-33,0.05,11,sell
2/26,2330,中國信託,6160,566,212,354,0.56,12,buy
2/26,2330,凱基-內湖,9287,10,30,-20,0.03,12,sell
2/26,2330,港商麥格理,1360,1514,1203,311,0.49,13,buy
2/26,2330,元富-安南,003900420032005a,9,24,-15,0.02,13,sell
2/26,2330,凱基,9200,408,109,299,0.48,14,buy
2/26,2330,國票-安和,003700370039005a,31,42,-11,0.02,14,sell
2/26,2330,台新證券,8150,283,29,254,0.4,15,buy
2/26,2330,元大-忠孝鼎富,0039003800320046,3,13,-10,0.02,15,sell
2/26,2317,花旗環球,1590,4248,1239,3009,2.5,1,buy
2/26,2317,美商高盛,1480,5205,13224,-8019,6.66,1,sell
2/26,2317,永豐金證券,0039004100300030,3398,911,2487,2.06,2,buy
2/26,2317,新加坡商瑞銀,1650,11018,16708,-5690,4.72,2,sell
2/26,2317,統一,5850,2745,315,2430,2.02,3,buy
2/26,2317,凱基-台北,9268,4751,8746,-3995,3.32,3,sell
2/26,2317,法銀巴黎,8900,1215,50,1165,0.97,4,buy
2/26,2317,美林,1440,5309,8043,-2734,2.27,4,sell
2/26,2317,群益金鼎,9100,1147,374,773,0.64,5,buy
2/26,2317,港商麥格理,1360,601,2964,-2363,1.96,5,sell
2/26,2317,元大-大同,0039003800390047,833,75,758,0.63,6,buy
2/26,2317,華南永昌,9300,141,1647,-1506,1.25,6,sell
2/26,2317,香港上海匯豐,8960,786,115,671,0.56,7,buy
2/26,2317,摩根大通,8440,2489,3913,-1424,1.18,7,sell
2/26,2317,富邦證券,9600,934,289,645,0.54,8,buy
2/26,2317,港商野村,1560,267,1511,-1244,1.03,8,sell
2/26,2317,新光,8560,1672,1062,610,0.51,9,buy
2/26,2317,元大證券,9800,5051,6093,-1042,0.86,9,sell
2/26,2317,凱基,9200,928,372,556,0.46,10,buy
2/26,2317,元富-虎尾,003900420032004e,180,484,-304,0.25,10,sell
2/26,2317,統一-南京,0035003800350055,547,16,531,0.44,11,buy
2/26,2317,元富,0039004200300030,325,516,-191,0.16,11,sell
2/26,2317,中國信託-高雄,003600310036004b,542,79,463,0.38,12,buy
2/26,2317,統一-台中,5856,105,285,-180,0.15,12,sell
2/26,2317,國泰-敦南,8888,1952,1549,403,0.33,13,buy
2/26,2317,元大-三重,0039003800380043,18,180,-162,0.13,13,sell
2/26,2317,合庫-自強,0031003000320043,420,38,382,0.32,14,buy
2/26,2317,元大-館前,003900380034004b,101,257,-156,0.13,14,sell
2/26,2317,台新證券,8150,1001,651,350,0.29,15,buy
2/26,2317,華南永昌-南京,9326,88,239,-151,0.13,15,sell
2/26,2454,花旗環球,1590,933,169,764,5.28,1,buy
2/26,2454,美林,1440,731,1421,-690,4.77,1,sell
2/26,2454,永豐金-匯立,0039004100380031,663,81,582,4.02,2,buy
2/26,2454,新加坡商瑞銀,1650,1018,1465,-447,3.09,2,sell
2/26,2454,群益金鼎,9100,433,23,410,2.84,3,buy
2/26,2454,永豐金證券,0039004100300030,289,431,-142,0.98,3,sell
2/26,2454,美商高盛,1480,1214,807,407,2.81,4,buy
2/26,2454,元大證券,9800,1259,1398,-139,0.96,4,sell
2/26,2454,富邦證券,9600,601,260,341,2.36,5,buy
2/26,2454,元大-大同,0039003800390047,5,123,-118,0.82,5,sell
2/26,2454,大和國泰,8890,307,5,302,2.09,6,buy
2/26,2454,國泰-敦南,8888,86,164,-78,0.54,6,sell
2/26,2454,台灣摩根士丹利,1470,753,558,195,1.35,7,buy
2/26,2454,第一金,5380,4,81,-77,0.53,7,sell
2/26,2454,摩根大通,8440,903,719,184,1.27,8,buy
2/26,2454,富邦-建國,9658,8,76,-68,0.47,8,sell
2/26,2454,元富,0039004200300030,223,55,168,1.16,9,buy
2/26,2454,統一-永和,0035003800350042,0,56,-56,0.39,9,sell
2/26,2454,群益金鼎-大安,0039003100380065,151,0,151,1.04,10,buy
2/26,2454,港商野村,1560,123,169,-46,0.32,10,sell
2/26,2454,香港上海匯豐,8960,148,12,136,0.94,11,buy
2/26,2454,美好,5260,3,47,-44,0.3,11,sell
2/26,2454,凱基-中山,9229,142,9,133,0.92,12,buy
2/26,2454,凱基-台北,9268,698,741,-43,0.3,12,sell
2/26,2454,港商麥格理,1360,125,50,75,0.52,13,buy
2/26,2454,大昌,6460,10,49,-39,0.27,13,sell
2/26,2454,康和,8450,85,10,75,0.52,14,buy
2/26,2454,兆豐-桃鶯,0037003000300055,9,42,-33,0.23,14,sell
2/26,2454,元富-台中,0039004200320035,74,5,69,0.48,15,buy
2/26,2454,華南永昌-高雄,9303,0,33,-33,0.23,15,sell
2/26,2308,凱基,9200,1186,35,1151,6.65,1,buy
2/26,2308,新加坡商瑞銀,1650,2501,3861,-1360,7.86,1,sell
2/26,2308,摩根大通,8440,1433,921,512,2.96,2,buy
2/26,2308,香港上海匯豐,8960,128,773,-645,3.73,2,sell
2/26,2308,元富,0039004200300030,359,43,316,1.83,3,buy
2/26,2308,美林,1440,1012,1416,-404,2.34,3,sell
2/26,2308,永豐金證券,0039004100300030,324,114,210,1.21,4,buy
2/26,2308,元大證券,9800,912,1260,-348,2.01,4,sell
2/26,2308,中國信託,6160,228,36,192,1.11,5,buy
2/26,2308,大和國泰,8890,107,367,-260,1.5,5,sell
